n00004475	有机体,存在
n11784497	讲坛上的杰克,印度萝卜,天南星,三叶天南星,天南星atrorubens
n11785276	舟形乌头,arisarum大麦
n11785668	花叶芋
n11785875	花叶芋
n11786131	水芋,水芋,水芋
n11786539	芋头,芋头,美国黄油笔,芋,芋
n11786843	芋头,野芋,芋,芋
n11787190	椒草,水喇叭
n11788039	星科
n11788727	金绿萝,绿萝,绿萝,绿萝,Scindapsus黄色葡萄球菌
n11789066	臭菘,lysichiton americanum
n11789438	龟背竹
n11789589	德语,蓬莱蕉
n11789962	奈弗台属植物
n11790089	奈弗台属植物afzelii
n11790788	箭头阿鲁姆
n11790936	绿色箭头，阿鲁姆,茯苓,生长于锦葵
n11791341	喜林芋
n11791569	大,水浮莲,水白菜,水浮莲,大stratoites
n11792029	绿萝
n11792341	白鹤芋,和平百合,佛焰苞花
n11792742	臭菘,臭鼬的杂草,臭味的绿萝,臭菘
n11793403	箭叶黄体芋,芋头,spoonflower,Malanga,千年芋,千年芋暗绿
n11793779	马蹄莲,马蹄莲,百合花,马蹄莲
n11794024	粉红色的马蹄莲,马蹄rehmanii
n11794139	黄马蹄莲
n11794519	浮萍
n11795049	浮萍,浮萍,浮萍
n11795216	明星的浮萍,品藻
n11795580	伟大的浮萍,水的亚麻籽,紫萍
n11796005	无根萍
n11796188	常见的受,Wolffia哥伦比亚纳
n11797321	楤木
n11797508	美国当归树,魔鬼手杖,Hercules俱乐部,龙牙刺
n11797981	美国甘松,小羊肚菌,人的一生,楤木鹃
n11798270	硬毛楤木,sarsparilla林立,矮灌木,龙牙花
n11798496	日本当归树,楤木
n11798688	当归,楤木,龙牙黑种
n11798978	常春藤,常见的常春藤,长春藤,常春藤
n11799331	普卡,Meryta作用研究
n11799732	人参,您的罪,人参,人参,三七
n11800236	人参
n11800565	雨伞树,澳洲鸭脚木,澳洲鸭脚木
n11801392	马兜铃,clematitis马兜铃
n11801665	荷兰人's-pipe,管葡萄,大叶马兜铃,durior马兜铃
n11801891	Virginia蛇根草,Virginia蛇根,Virginia蛇根,蛇根马兜铃
n11802410	加拿大生姜,黑升麻,Asarum canadense
n11802586	鱼腥草,心叶,细辛莱
n11802800	鱼腥草,心叶,Asarum shuttleworthii
n11802995	asarabacca,Asarum的
n11805255	石竹科植物
n11805544	麦仙翁,玉米坎皮恩,田野王冠,麦仙翁
n11805956	蚤缀
n11806219	山蚤缀,山银柴胡,山菊花,根结线虫格林兰
n11806369	松树贫瘠蚤缀,longroot,雪草
n11806521	海滨蚤缀,雪peploides
n11806679	岩石蚤缀,根结线虫STRICTA
n11806814	小无心菜,无心菜
n11807108	卷耳,鼠耳繁缕,小鼠耳,湿冷的繁缕,繁缕
n11807525	夏天的雪,黑种草,夏雪草
n11807696	高山鼠耳,北极鼠耳,耳草属茅
n11807979	粉红色,花园的粉红色
n11808299	可爱的威廉,美国石竹
n11808468	康乃馨,丁香粉色,紫罗兰,香石竹
n11808721	中国的粉红色,彩虹粉色,石竹
n11808932	日本粉色,石竹heddewigii
n11809094	少女粉红,西洋石竹
n11809271	欧洲蔓丛石竹,diangus gratianopolitanus
n11809437	宽叶石竹,石竹刺头
n11809594	常夏石竹,草粉,常夏石竹
n11809754	瞿麦,supurbus石竹
n11810030	drypis
n11810358	婴儿的呼吸,婴儿的呼吸,满天星
n11811059	珊瑚项链,illecebrum verticullatum
n11811473	剪秋罗,捕蝇草
n11811706	剪秋罗,杜鹃花,布谷鸟剪秋罗,lychins floscuculi
n11811921	剪秋罗,马耳他十字,lychins chalcedonica
n11812094	剪夏罗,玫瑰剪秋罗,园丁的乐趣,尘土飞扬的米勒,毛剪秋罗
n11812910	蚤缀,种阜草
n11813077	蚤缀,种阜草属粘膜
n11814584	肥皂草,对冲的粉红色,弹跳的赌注,跳跃的贝丝,肥皂草
n11814996	knawel,knawe,线球草葵
n11815491	蝇子草属,坎皮恩,捕蝇草
n11815721	苔藓剪秋罗,蝇子草
n11815918	野生粉,蝇子草
n11816121	朝颜剪秋罗,红鸟眼,米瓦腿子,朝颜剪秋罗
n11816336	白色坎皮恩,晚上剪秋罗,白色的小舟,白玉草,叉枝蝇子草,剪秋罗阿尔巴
n11816649	火红色,麦锦葵
n11816829	白玉草,白玉草,白玉草
n11817160	大爪草,大爪草,大爪草
n11817501	砂粉,海竹草,田野拟漆姑
n11817914	繁缕
n11818069	繁缕,鹅肠草
n11818636	王不留行,牛拾贝,麦蓝菜,麦蓝菜,王不留行
n11819509	霍图,霍屯督人的图,酸涩的无花果,莫邪菊,Mesembryanthemum edule
n11819912	彩虹菊,彩虹菊
n11820965	松叶菊,石子厂
n11821184	冰厂,冰叶日中花,冰叶日中花
n11822300	新西兰菠菜,番杏,番杏
n11823043	苋菜
n11823305	苋菜
n11823436	风滚草,白苋,匍匐苋
n11823756	荭草,绅士's-cane,王子's-plume,红苋菜,紫苋菜,Amaranthus瓜叶菊,籽粒苋hybridus,绿穗苋erythrostachys
n11824146	藜,千穗谷
n11824344	刺苋菜,刺苋
n11824747	空心莲子草,鳄鱼草,空心莲子草
n11825351	鸡冠花,鸡冠花,鸡冠花,青葙鸡冠花
n11825749	鼠曲草
n11826198	千日红,学士按钮,千日紅
n11826569	走茎血苋
n11827541	钾猪毛菜,巴提斯船运
n11828577	藜,藜,野菠菜,藜
n11828973	好国王亨利,好,白花藜,野菠菜,藜奖金亨里克斯
n11829205	耶路撒冷栎,羽毛的天竺葵,墨西哥茶,香藜,墨西哥滨藜
n11829672	橡树叶藜,灰绿藜,灰绿藜
n11829922	藜草,红藜,杂配藜
n11830045	荨麻叶藜,墙生藜,墙生藜
n11830252	红藜,法国菠菜,红叶藜
n11830400	臭藜,菊叶香藜
n11830714	滨藜属植物,滨藜属植物
n11830906	滨藜
n11831100	榆钱菠菜,山菠菜,榆钱菠菜
n11831297	沙漠冬青,hymenelytra滨藜
n11831521	鹌鹑布什,鹌鹑刷,白蒺藜,滨藜豆状
n11832214	甜菜,普通甜菜,甜菜
n11832480	甜菜根,甜菜杨梅
n11832671	甜菜,瑞士甜菜,菠菜甜菜,叶用甜菜,甜菜植物,普通甜菜的一个变种
n11832899	甜菜,甜菜,曼戈尔德,甜菜甜菜
n11833373	环翅萼藜,风滚草,翼藜
n11833749	盐生草,盐生草
n11834272	海蓬子,海蓬子,盐角草
n11834654	钾猪毛菜,百味,海蓬子,卡莉,kelpwort,钾猪毛菜,苏打猪毛菜
n11834890	俄罗斯蓟,俄罗斯的风滚草,俄罗斯的仙人掌,风滚草,Salsola kali远志
n11835251	黑肉叶刺茎藜,肉叶刺茎藜,黑油脂木
n11836327	红色的麝香花,Nyctaginia甘蓝
n11836722	沙地马鞭草
n11837204	甜蜜的沙地马鞭草,Abronia桂花
n11837351	黄色的沙地马鞭草,Abronia茭白
n11837562	滩煎饼,叶子花船运
n11837743	海滩沙地马鞭草,粉红色的沙地马鞭草,花叶子花
n11837970	沙漠马鞭草,毛叶子花
n11838413	尾随四点,尾随的风车,allionia兴山
n11838916	三角梅
n11839460	紫茉莉属植物
n11839568	四点
n11839823	紫茉莉,秘鲁的奇迹,紫茉莉,紫茉莉叶草
n11840067	加利福尼亚时间四点,紫蛙,紫夜蛾
n11840246	甜蜜的四点,公司,奇异变形杆菌的研究
n11840476	沙漠四点,科罗拉多时间四点,公司,紫蔷薇
n11840764	山四点,紫岭南山
n11841247	鸡距,腺果藤
n11843441	鼠尾掌,鼠尾掌,鼠尾掌
n11844371	仙人掌,树状仙人掌,德州油柱
n11844892	昙花
n11845557	金琥,桶形仙人掌
n11845793	刺猬仙人掌
n11845913	金琥,金琥
n11846312	刺猬仙人掌
n11846425	彩虹仙人掌
n11846765	昙花,兰花仙人掌
n11847169	桶形仙人掌
n11848479	昙花
n11848867	墨西哥仙人掌,Lemaireocereus墨西哥仙人掌
n11849271	龙舌兰,龙舌兰酒,仙人掌,魔根
n11849467	龙舌兰按钮,和圣菇,神奇的蘑菇
n11849871	乳头状
n11849983	羽毛球,白星
n11850521	garambulla,garambulla仙人掌,浆果紫杉
n11850918	诺尔顿的仙人掌,银河玉
n11851258	仙人掌
n11851578	多刺的梨树,仙人掌
n11851839	仙人掌,仙人掌仙人掌
n11852028	仙人掌,仙人掌lindheimeri
n11852148	金枪鱼,金武扇仙人掌
n11852531	巴巴多斯猕猴桃,巴巴多斯醋栗葡萄,叶仙人掌
n11853079	槲寄生的仙人掌
n11853356	倒吊莲,蟹爪兰buckleyi,蟹爪兰baridgesii
n11853813	昙花
n11854479	蟹爪仙人掌,感恩节仙人掌,蟹爪兰,Schlumbergera海豚
n11855274	美洲商陆
n11855435	印戳,商陆
n11855553	戳,鸽子的浆果,目标,美洲商陆,美洲商陆
n11855842	文部,贝拉的暗影,树商陆
n11856573	bloodberry,血液的浆果,rougeberry,工厂,小商陆
n11857696	马齿苋
n11857875	半支莲,太阳花,大花马齿苋
n11858077	马齿苋,马齿苋,pussly,verdolagas,马齿笕
n11858703	岩马齿苋
n11858814	红姑娘,redmaids,Calandrinia红椿
n11859275	卡罗莱纳州春美,春美草属植物
n11859472	春天的美丽,克拉托尼亚杉木
n11859737	Virginia春天的美丽,春美草属植物锦葵
n11860208	西斯基尤离子苋,露薇花
n11860555	比特鲁特,离子苋帆船
n11861238	阔叶小鸡草属,小鸡草属茜草
n11861487	眨眼,闪烁的繁缕,水繁缕,lamprosperma小鸡草属
n11861641	蟾蜍百合,chamissoi小鸡草属
n11861853	冬马齿苋,结球莴苣,古巴的菠菜,小鸡草属perfoliata
n11862835	火焰花,火焰花,flameflower,土人参橙黄
n11863467	侏儒土人参,人参brevifolium
n11863877	珠宝OPAR,土人参
n11865071	跳跃
n11865276	本地的石榴,刺山柑梓
n11865429	跳跃的树,牙买加山柑树,野cynophallophora
n11865574	跳跃的树,湾叶雀跃,刺山柑flexuosa
n11865874	常见的跳跃,老鼠瓜
n11866248	醉蝶花,醉蝶花
n11866706	洛矶山蜜源植物,臭草,醉蝶花属樱花
n11867311	clammyweed,polanisia天竺葵,polanisia dodecandra
n11868814	十字花科植物,十字花科植物
n11869351	水芹,水芹的植物
n11869689	豆瓣
n11870044	岩芥菜,石芥
n11870418	大蒜芥,对冲大蒜,酱单独,篱笆旁的杰克,Alliaria巴戟
n11870747	庭荠,岩生庭荠
n11871059	耶利哥城玫瑰,复苏植物,含生草
n11871496	拟南芥,拟南芥属
n11871748	琴叶拟南芥
n11872146	岩水芹,南芥
n11872324	决明,南芥菜花黄花
n11872658	塔芥末,塔水芹,旗杆芥,芥菜种
n11873182	辣根,辣根
n11873612	冬季水芹,圣巴巴拉药草,坏血病草
n11874081	黄色的火箭,南芥,火箭水芹,山芥,大蒜芥
n11874423	古老的艾丽森,古老的香雪球,团扇荠
n11874878	圆盾芥末,biscutalla金樱子
n11875523	甘蓝,甘蓝
n11875691	甘蓝,种植的卷心菜,甘蓝
n11875938	结球甘蓝,结球甘蓝植物,栽培植物
n11876204	皱叶甘蓝
n11876432	布鲁塞尔萌芽,甘蓝gemmifera
n11876634	菜花,花茎甘蓝
n11876803	西兰花,甘蓝谷子
n11877193	羽衣甘蓝
n11877283	大头菜,甘蓝螳螂
n11877473	萝卜植物
n11877646	萝卜,白萝卜,白菜
n11877860	大头菜,萝卜白菜,瑞典人,瑞典芜菁,大头菜植物,芜菁甘蓝型油菜
n11878101	花椰菜,西兰花,芜菁Ruvo
n11878283	芥末
n11878633	芥菜,印度芥菜,芥菜,盖财,芥菜型油菜
n11879054	白菜,白菜,小白菜,小白菜,小白菜,白菜
n11879722	强奸,菜子,油菜
n11879895	油菜
n11881189	荠菜,牧羊人的眼袋,荠菜
n11882074	女士的工作服,酢浆草,杜鹃花,草甸水芹,草甸碎米荠
n11882237	珊瑚根碎米荠,珊瑚兰,coralwort,碎米荠属黄独,dentaria黄独
n11882426	美洲荠,皱根,二叶石芥花,辣椒根,石芥花,碎米荠属生,dentaria生
n11882636	美国菜,山菜,圆叶碎米荠
n11882821	春天的水芹,碎米荠属植物
n11882972	紫芥,碎米douglasii
n11883328	墙花之所以叫墙花，,桂竹香,桂竹香
n11883628	草原上的火箭
n11883945	坏血病草,常见的坏血病草,辣根
n11884384	海甘蓝,海科尔,海甘蓝
n11884967	艾菊芥末,羽叶播娘蒿
n11885856	葶苈属
n11887119	墙花之所以叫墙花，
n11887310	草原上的火箭
n11887476	西伯利亚墙花,糖芥allionii,Cheiranthus allionii
n11887750	西墙花,糖芥asperum,桂竹香属asperus,糖芥arkansanum
n11888061	小花糖芥,小花糖芥
n11888424	heliophila
n11888800	紫绫,戴姆的紫罗兰,甜蜜的火箭,matronalis赫斯珀里斯
n11889205	艾菊叶火箭,hugueninia tanacetifolia,大蒜tanacetifolia
n11889619	屈曲花
n11890022	菘蓝
n11890150	戴尔的靛蓝,菘蓝
n11890884	膀胱荚
n11891175	香雪球,可爱的艾丽森,香雪球
n11892029	马尔科姆股票,股票
n11892181	紫罗兰,Virginia证券,涩荠蛔
n11892637	股票,紫罗兰
n11892817	布兰顿股票,紫罗兰
n11893640	膀胱荚
n11893916	麂皮水芹,pritzelago高山,独行菜属高山
n11894327	萝卜植物,萝卜
n11894558	节理野芥子,野萝卜,野生油菜,冲压,野萝卜
n11894770	萝卜,萝卜
n11895092	萝卜,萝卜,日本萝卜,萝卜longipinnatus
n11895472	风花菜,黄豆瓣,风花菜
n11895714	狭叶鼻花,蔊菜属两栖纲,旱金莲两栖
n11896141	schizopetalon,schizopetalon沃克
n11896722	田芥菜,野芥菜,水田芥,chadlock,田芥菜,野芥
n11897116	钻果蒜芥,钻果大蒜芥
n11897466	沙漠羽,王子's-plume,stanleya黄皮,醉蝶花黄皮
n11898639	菥蓂
n11898775	场菥蓂,法国的杂草,fanweed,便士草,臭草,米特拉达梯芥末,遏蓝菜
n11899223	缨络果属植物,lacepod
n11899762	膀胱荚
n11899921	芥末
n11900569	罂粟
n11901294	冰岛罂粟,高山罂粟
n11901452	西方罂粟,加州罂粟
n11901597	蓟罂粟属,罂粟罂粟属
n11901759	冰岛罂粟,北极罂粟,野罂粟
n11901977	东方罂粟,东方罂粟
n11902200	虞美人,田野罂粟,虞美人,虞美人
n11902389	罂粟,罂粟
n11902709	蓟罂粟属,蓟罂粟,白蒺藜,魔鬼的图
n11902982	墨西哥罂粟,蓟罂粟
n11903333	博落回属,树白屈菜,木罂粟
n11903671	白屈菜,白屈菜,白屈菜,燕麦汁,大白屈菜
n11904109	紫堇
n11904274	攀缘紫堇,延胡索claviculata,claviculata紫堇
n11905392	加利福尼亚罂粟,花菱草
n11905749	角罂粟,角罂粟,黄角罂粟,海罂粟,黄海罂粟
n11906127	金杯,金杯罂粟,Hunnemania fumariifolia
n11906514	羽罂粟,博落回属,博落回
n11906917	绿绒蒿属,藿香叶绿绒蒿
n11907100	威尔士绿绒蒿,西欧绿绒蒿
n11907405	一种罂粟科植物,platystemon californicus
n11907689	罂粟花,加利福尼亚树罂粟,罂粟科植物coulteri
n11908549	风罂粟,火红的罂粟,stylomecon异叶,异叶罂粟
n11908846	二叶苞罂粟,木材的罂粟,金罂粟
n11909864	攀登延胡索,阿勒格尼藤,荷包藤属霉菌性,紫堇霉菌性
n11910271	流血的心,荷包牡丹,琴花,荷包牡丹
n11910460	荷兰人的马裤,兜状荷包牡丹
n11910666	松鼠玉米,加拿大荷包牡丹
n11915214	混合成的,复合材料厂
n11915658	指南针植物,罗经花
n11915899	永恒的,永久花
n11916467	欧蓍草
n11916696	西洋蓍草,蓍草,欧蓍草
n11917407	粉红与白色永恒,粉红色的雏菊,acroclinium粉红
n11917835	白色蛇根草,白变豆菜,白蛇根,紫茎rugosum
n11918286	藿香
n11918473	常见的藿香,紫花藿香薊
n11918808	甜蜜的苏丹,珀菊,香芙蓉
n11919447	豚草,豚草,含有苦素的植物
n11919761	豚草,豚草
n11919975	三裂叶豚草,三裂叶豚草
n11920133	西方豚草,多年生豚草,裸穗猪草
n11920498	ammobium
n11920663	银苞菊,银苞菊
n11920998	草,草西班牙,Anacyclus除虫菊
n11921395	珠光香青,鼠曲草,珠光香青
n11921792	andryala
n11922661	芭蕉叶蝶须属植物
n11922755	田蝶须
n11922839	孤立性蝶须属植物
n11922926	蝶须
n11923174	小白菊,狗茴香,臭小白菊,臭春黄菊,臭春黄菊
n11923397	春黄菊,春黄菊,没食子洋甘菊,春黄菊
n11923637	刺甘菊,场洋甘菊,玉米小白菊,田春黄菊
n11924014	毛茸茸的雏菊,矮的雏菊,antheropeas wallacei,eriophyllum wallacei
n11924445	牛蒡,ǔ耳
n11924849	牛蒡,牛蒡子,苍耳,牛蒡
n11925303	非洲雏菊
n11925450	蓝眼非洲雏菊,arctotis stoechadifolia,arctotis venusta
n11925898	玛格丽特,玛格丽特雏菊,巴黎雏菊,玛格丽特,木茼蒿
n11926365	silversword,Argyroxiphium sandwicense
n11926833	山金车
n11926976	种山金车,山金车茜草
n11927215	山金車
n11927740	羔羊菊苣,矮稻槎菜,Arnoseris极小
n11928352	蒿
n11928858	艾蒿
n11929743	青蒿,阿尔泰米夏黄花
n11930038	荒野蒿,荒野蒿
n11930203	龙蒿,龙蒿,阿尔泰米夏麦地
n11930353	沙蒿,银色的苦艾,阿尔泰米夏filifolia
n11930571	艾草鼠尾草,草原sagewort,冷蒿
n11930788	西方艾,白鼠尾草,鼠曲草,草原鼠尾草,阿尔泰米夏ludoviciana,阿尔泰米夏gnaphalodes
n11930994	罗马艾草,阿耳忒弥斯庞帝克
n11931135	芽刷,芽蒿,阿耳忒弥斯spinescens
n11931540	常见的艾蒿,北艾
n11931918	紫菀
n11932745	木紫菀
n11932927	紫菀,ASTER尖
n11933099	紫菀属,ASTER arenosus
n11933257	心叶紫菀,ASTER cordifolius
n11933387	白木紫菀,ASTER羊角
n11933546	紫苑,紫菀属植物毛
n11933728	紫菀属,ASTER ericoides
n11933903	白草原紫菀,ASTER falcatus
n11934041	僵硬的紫菀,ASTER linarifolius
n11934239	金发姑娘,金发姑娘翠菊,麻菀,麻菀属寻常
n11934463	大叶紫菀,大叶紫菀
n11934616	新英格兰紫菀,美国紫菀
n11934807	紫苑,柳叶菊,荷兰菊
n11935027	耆叶紫菀,可与假蓍紫菀
n11935187	短的紫菀,ASTER shortii
n11935330	海紫苑,海马齿,海紫菀
n11935469	草原紫菀,ASTER turbinellis
n11935627	一年生盐沼紫菀
n11935715	芳香紫菀
n11935794	箭叶紫菀
n11935877	蓝色的紫菀
n11935953	沼泽紫菀
n11936027	弯曲的茎紫菀
n11936113	东部的银色紫苑
n11936199	平顶紫菀
n11936287	晚的紫菀
n11936369	圆锥花序紫苑
n11936448	多年生盐沼紫菀
n11936539	紫色的茎紫菀
n11936624	粗叶紫菀
n11936707	冲紫菀
n11936782	施雷伯的紫苑
n11936864	白色的小紫苑
n11936946	光滑的紫菀
n11937023	南紫菀
n11937102	饥饿的紫菀,花布紫菀
n11937195	斯坎特紫菀
n11937278	波浪叶紫菀
n11937360	西方的银色紫苑
n11937446	柳叶紫苑
n11937692	三脉泽兰,三脉泽兰triplinervis,紫茎泽兰的绫帕那
n11938556	骡子的脂肪,viminea Baccharis
n11939180	香根
n11939491	雏菊
n11939699	常见的雏菊,雏菊,Bellis雏菊
n11940006	金盏花,毛刺的金盏花,鬼针草,鬼针,鬼针草
n11940349	西班牙的针,鬼针草
n11940599	紧实金盏草,鬼针草冠,trichosperma鬼针草
n11940750	欧洲的鬼针草,三叶鬼针草,三叶鬼针草属植物,狼把草
n11941094	纤细的矢车菊
n11941478	春黄菊状母菊
n11941924	天鹅河的雏菊,iberidifolia屈曲叶短毛菌
n11942659	林地牛眼,牛眼菊指牛眼菊
n11943133	印度车前
n11943407	金盏花
n11943660	金盏菊,金盏花,ruddles,苏格兰万寿菊,金盏花
n11943992	中国紫菀,翠菊
n11944196	蓟
n11944751	飞廉尚,丝毛飞廉
n11944954	飞廉,点头蓟草,飞廉
n11945367	卡琳蓟
n11945514	无柄卡琳蓟,蓟草
n11945783	常见的卡琳蓟,Carlina寻常
n11946051	红花,干红花花瓣,红花
n11946313	红花籽
n11946727	菊科草本植物
n11946918	蓝色的菊苣,丘比特的箭,菊科草本植物睡莲
n11947251	矢车菊
n11947629	尘土飞扬的米勒,银叶菊,矢车菊gymnocarpa
n11947802	矢车菊,学士按钮,青蝇,矢车菊
n11948044	星蓟,菱角,centauria calcitrapa
n11948264	矢车菊
n11948469	甜蜜的苏丹,矢车菊鹦哥
n11948864	大矢车菊,大矢车菊,矢车菊的传说
n11949015	Barnaby的蓟,黄星蓟,种入侵植物黄矢车菊
n11949402	洋甘菊,甘菊,果香菊属属,罗马甘菊
n11949857	chaenactis
n11950345	菊花
n11950686	万寿菊,场的金盏花,南茼蒿
n11950877	茼蒿,茼蒿
n11951052	杂碎蔬菜,佟浩,顺势菊,茼蒿spatiosum
n11951511	金菊
n11951820	马里兰州金菊,金菊马里亚纳
n11952346	goldenbush
n11952541	兔子刷,兔食木,nauseosus Chrysothamnus
n11953038	菊苣,菊苣,菊苣,菊苣
n11953339	菊苣,菊苣,栽培菊苣
n11953610	菊苣,菊苣根
n11953884	羽蓟,羽毛的蓟
n11954161	加拿大蓟,匍匐柳,丝路蓟
n11954345	小蓟,蓟变色
n11954484	毛蓟,蓟flodmanii
n11954642	欧洲毛蓟,蓟苔藓
n11954798	忧郁的蓟,蓟heterophylum,蓟helenioides
n11955040	布鲁克蓟,刺儿rivulare
n11955153	牛蓟,野猪蓟,矛蓟,翼蓟,蓟茴香
n11955532	水飞蓟,甜蜜的苏丹,藏掖花
n11955896	雾花泽兰,雾花,藿香,conoclinium泽兰,紫茎泽兰
n11956348	小飞蓬,加拿大飞蓬,灯盏细辛,小蓬草,加拿大飞蓬
n11956850	金鸡菊,金鸡菊,tickweed,蜱的杂草
n11957317	大波斯菊,金鸡菊属
n11957514	海的大丽花,金鸡菊海
n11957678	波斯菊,两色金鸡菊
n11958080	宇宙,大波斯菊
n11958499	黄铜纽扣,最常见的模式coronopifolia
n11958888	比利按钮
n11959259	还阳参属植物,鹰's-beards
n11959632	朝鲜蓟,朝鲜蓟,朝鲜蓟植物,朝鲜蓟
n11959862	朝鲜蓟,刺菜蓟
n11960245	大丽花,大丽花
n11960673	德国千里光,delairea草,milkanioides千里光
n11961100	菊花,花店菊花,妈妈,菊花grandifloruom,菊花
n11961446	雨菊,太阳花,的草原之星
n11961871	豹毒乌头,leopardbane
n11962272	松果菊
n11962667	球蓟
n11962994	大象草
n11963572	流苏花,艾米利亚箭
n11963932	扁果菊,脆布什,香木,Encelia farinosa
n11964446	新蕾,enceliopsis nudicaulis
n11964848	engelmannia
n11965218	杂草,饥荒草
n11965627	灯盏细辛
n11965962	飞蓬,飞蓬
n11966083	黛西飞蓬,一年蓬
n11966215	橙色雏菊,橘黄飞蓬,橙黄飞蓬
n11966385	传播灯盏细辛,飞蓬分歧
n11966617	海边的小菊花,海滩紫菀,灯盏细辛有白霜
n11966896	费城飞蓬,春一年蓬
n11967142	飞蓬,Erigeron pulchellus
n11967315	艳丽的菊花,灯盏speciosus
n11967744	毛茸茸的向日葵
n11967878	金欧蓍草,eriophyllum lanatum
n11968519	狗茴香,尖叶草
n11968704	Joe Pye的杂草,发现Joe Pye的杂草,紫茎泽兰的斑点
n11968931	兰草,龙胆属植物,兰草,贯叶泽兰
n11969166	Joe Pye的杂草,斑茎泽兰,小号的杂草,沼泽乳草,紫茎象草
n11969607	蓝费莉菊,蓝雏菊,费利菊
n11969806	翠鸟雏菊,费利西亚bergeriana
n11970101	棉花上升,鼠曲草,filago
n11970298	草公司,filago蠊
n11970586	天人菊
n11971248	勋章菊
n11971406	宝花,勋章菊
n11971783	非洲雏菊
n11971927	非洲菊属,非洲菊,非洲菊
n11972291	沙漠向日葵,gerea灰
n11972759	鼠曲草
n11972959	chafeweed,木鼠曲草,林地鼠麴草
n11973341	树胶草,胶厂,麻迪菊,松脂植物
n11973634	大胶草
n11973749	curlycup树胶草,胶草
n11974373	小头蛇,Gutierrezia小头
n11974557	兔草,兔子的杂草,蛇,灌木钟苞菊,扫帚蛇根草,松节油的杂草,花拳参
n11974888	多年生小头古蒂里齐亚,扫帚草,Gutierrezia texana
n11975254	三七草,紫色丝绒厂,皇家丝绒厂,紫鹅绒
n11976170	goldenbush
n11976314	樟脑的雏菊,phyllocephalus纤细
n11976511	黄色带刺的雏菊,纤细spinulosus
n11976933	古老的金色布什,hazardia迦
n11977303	堆心菊
n11977660	橙堆心菊,owlclaws,香hoopesii
n11977887	短毛堆心菊,香软毛
n11978233	向日葵,向日葵
n11978551	沼泽向日葵,狭叶向日葵
n11978713	向日葵,米拉索尔,向日葵
n11978961	大向日葵,高大的向日葵,大马勃,向日葵竹材
n11979187	华丽向日葵,美丽向日葵
n11979354	马希米莲的向日葵,向日葵maximilianii
n11979527	草原上的向日葵,向日葵petiolaris
n11979715	耶路撒冷朝鲜蓟,火欧泊,耶路撒冷朝鲜蓟的向日葵,菊芋
n11979964	耶路撒冷朝鲜蓟
n11980318	蜡菊,金色永恒,黄纸雏菊,麦秆菊
n11980682	赛菊芋属,牛眼
n11981192	蜡菊
n11981475	多毛的金菊,草原金菊,heterotheca毛,金菊毛
n11982115	山柳菊
n11982545	响尾蛇的杂草,山柳菊静脉
n11982939	高山款冬,高山蜂,款冬花的高山
n11983375	高寒金,高山hulsea,hulsea龙胆
n11983606	矮hulsea,hulsea娜娜
n11984144	猫耳草,加利福尼亚蒲公英,猫耳草,猫耳草,猫耳菊
n11984542	旋覆花
n11985053	沼泽长老,IVA
n11985321	刺果沼生接骨木,假苍耳,假苍耳
n11985739	krigia
n11985903	矮的蒲公英,krigia蒲公英,krigia生长
n11986511	莴苣,常见的生菜,Lactuca苜蓿
n11986729	莴苣,生菜,莴苣叶
n11987126	莴苣叶,皱叶莴苣
n11987349	卷心,茎用莴苣,莴苣asparagina
n11987511	多刺莴苣,马蓟,毒莴苣,scariola莴苣
n11988132	金矿,lasthenia chrysostoma
n11988596	宽舌莱氏菊,整洁的秘诀,莱雅菊
n11988893	等果菊属
n11989087	秋天的蒲公英,金芽,蒲公英属鹦鹉
n11989393	雪绒花,雪绒花
n11989869	牛眼雏菊,大眼睛的雏菊,玛格丽特,月亮的雏菊,白色雏菊,法兰西菊,法兰西菊
n11990167	牛眼雏菊,大滨菊,大滨菊
n11990313	沙斯塔山雏菊,Leucanthemum超级流浪汉,菊花最大
n11990627	比利牛斯山脉的雏菊,滨lacustre,菊花lacustre
n11990920	北岛雪绒花,leucogenes火绒草
n11991263	闪耀的明星,按钮蛇根草,蛇鞭菊属,同性恋的羽毛,蛇根草
n11991549	点缀蛇鞭菊属,Liatris斑点
n11991777	密集的闪耀的明星,pycnostachya蛇鞭菊
n11992479	德克萨斯星,Lindheimera texana
n11992806	非洲雏菊,黄胜,lonas inodora,lonas黄花
n11993203	塔霍卡雏菊,艾菊叶紫菀,machaeranthera tanacetifolia
n11993444	粘紫菀,machaeranthera海蓬子
n11993675	紫苑,machaeranthera tortifoloia
n11994150	麻迪菊
n11995092	甜蜜的假洋甘菊,野生洋甘菊,德国洋甘菊,德国洋甘菊,德国洋甘菊
n11995396	杂草丛生,昏暗的洋甘菊,同花母菊
n11996251	米甘草,攀登兰草,野生蔓菊,麻藤爬,薇草
n11996677	帚菊木属
n11997032	响尾蛇根
n11997160	白色的生菜,cankerweed,福王草阿尔巴,福王草属阿尔巴
n11997969	雏菊木,黛西布什,黛西布什
n11998492	新西兰雏菊木,haastii Olearia
n11998888	棉蓟,毛蓟,苏格兰蓟,大翅蓟,onopordon果实
n11999278	厚敦菊属
n11999656	级联永恒,ozothamnus secundiflorus,蜡菊secundiflorum
n12000191	飞蓬
n12001294	美国的小白菊,野生奎宁,松香草,银胶菊integrifolium
